product_id;code_public;name_full
43955;"POD.SKLO 4210";"ROMOTOP 6mm Přísuvné sklo 1350 x 1060 mm"
43869;"DB3F 01M";"ROMOTOP Kamnová vložka DYNAMIC B 3G 38.50.01M"
43870;"DR3SG 21A";"ROMOTOP Kamnová vložka DYNAMIC R 3G S 55.44.42.21A"
43871;"DR3SG 21M";"ROMOTOP Kamnová vložka DYNAMIC R 3G S 55.44.42.21M"
43872;"DR3SH 21A";"ROMOTOP Kamnová vložka DYNAMIC R 3G S 72.44.42.21A"
43873;"DR3SH 21M";"ROMOTOP Kamnové vložky DYNAMIC R 3G S 72.44.42.21M"
43874;"DL3SG 21A";"ROMOTOP Kamnová vložka DYNAMIC L 3G S 55.44.42.21A"
43875;"DL3SG 21M";"ROMOTOP Kamnová vložka DYNAMIC L 3G S 55.44.42.21M"
43876;"DL3SH 21M";"ROMOTOP Kamnová vložka DYNAMIC L 3G S 72.44.42.21M"
43879;"DB3F 01";"ROMOTOP Kamnová vložka DYNAMIC B3G 38.50.01"
43880;"DB3H 01";"ROMOTOP Kamnová vložka DYNAMIC B3G 66.44.01"
43937;"DU3SH 21 K1";"ROMOTOP Kamnové vložky DYNAMIC U 3G S 56.44.57.21 K1"
43938;"DU3SH 21 K1M";"ROMOTOP Kamnová vložka DYNAMIC U 3G S 56.44.57.21 K1M"
43939;"DU3SH 21 K1A";"ROMOTOP Kamnová vložka DYNAMIC U 3G S 56.44.57.21 K1A"
43960;Q144;"DEFRO HOME Krbová vložka VIS XSM 9 A Compact MINI"
43945;30062949;"JOTUL Krbová kamna JØTUL F 174 ZENSORIC"
43946;30065522;"JOTUL Krbová kamna JØTUL F 176 ZENSORIC"
43947;30067015;"JOTUL Krbová kamna JØTUL F 200 V2 - AKCE do 31. 7. 2026 nebo do vyprodání zásob"
43948;30067017;"JOTUL Krbová kamna JØTUL F 205 V2 - AKCE do 31. 7. 2026 nebo do vyprodání zásob"
43849;504070/0005;"DRACHOLIN MEISTER Minerální glazura effecto – saphir"
43850;504070/0006;"DRACHOLIN MEISTER Minerální glazura effecto – aquamarine"
43799;21.02.866.2;"LIENBACHER 6 mm sklo podkladové pod kamna - obdélník 60/80 cm"
43805;"HW4N 06";"ROMOTOP Krbová vložka HEAT W 4G 59.50.06 (černý igniton) - s teplovodním výměníkem"
43808;"I3X 16M";"ROMOTOP Krbová vložka IMPRESSION 3G 80.54.16M (černý igniton)"
43809;"I3LK 14A";"ROMOTOP Krbová vložka IMPRESSION 3G L 97.51.14A (šedý igniton)"
43810;"I3LK 16";"ROMOTOP Krbová vložka IMPRESSION 3G L 97.51.16 (černý igniton)"
43812;"I3LK 16A";"ROMOTOP Krbová vložka IMPRESSION 3G L 97.51.16A (černý igniton)"
43813;"IL3LG 16M";"ROMOTOP Krbová vložka IMPRESSION L 3G L 63.51.38.16M (černý igniton)"
43814;"IR3LG 14A";"ROMOTOP Krbová vložka IMPRESSION R 3G L 63.51.38.14A (šedý igniton)"
43815;"IR3LG 16";"ROMOTOP Krbová vložka IMPRESSION R 3G L 63.51.38.16 (černý igniton)"
43816;"IR3LG 16M";"ROMOTOP Krbová vložka IMPRESSION R 3G L 63.51.38.16M (černý igniton)"
43817;"IR3LG 16A";"ROMOTOP Krbová vložka IMPRESSION R 3G L 63.51.38.16A (černý igniton)"
43824;"I3N 16M";"ROMOTOP Krbová vložka IMPRESSION 3G 59.44.16M (černý igniton)"
43825;"I3Z 14M";"ROMOTOP Krbová vložka IMPRESSION 3G 70.50.14M (šedý igniton)"
43826;"I3Z 16";"ROMOTOP Krbová vložka IMPRESSION 3G 70.50.16 (černý igniton)"
43827;"I3Z 16M";"ROMOTOP Krbová vložka IMPRESSION 3G 70.50.16M (černý igniton)"
43828;"I3X 14";"ROMOTOP Krbová vložka IMPRESSION 3G 80.54.14 (šedý igniton)"
43829;"I3X 14M";"ROMOTOP Krbová vložka IMPRESSION 3G 80.54.14M (šedý igniton)"
43830;"I3LJ 14";"ROMOTOP Krbová vložka IMPRESSION 3G L 83.51.14 (šedý igniton)"
43831;"I3LJ 14M";"ROMOTOP Krbová vložka IMPRESSION 3G L 83.51.14M (šedý igniton)"
43832;"I3LJ 14A";"ROMOTOP Krbová vložka IMPRESSION 3G L 83.51.14A (šedý igniton)"
43833;"I3LJ 16";"ROMOTOP Krbová vložka IMPRESSION 3G L 83.51.16 (černý igniton)"
43834;"I3LJ 16M";"ROMOTOP Krbová vložka IMPRESSION 3G L 83.51.16M (černý igniton)"
43837;"I3LK 14M";"ROMOTOP Krbová vložka IMPRESSION 3G L 97.51.14M (šedý igniton)"
43838;"IC3LH 24M";"ROMOTOP Krbová vložka IMPRESSION C 3G L 74.51.37.24M (šedý igniton)"
43839;"IC3LH 24A";"ROMOTOP Krbová vložka IMPRESSION C 3G L 74.51.37.24A (šedý igniton)"
43840;"IC3LH 26M";"ROMOTOP Krbová vložka IMPRESSION C 3G L 74.51.37.26M (černý igniton)"
43842;"IU3LG 24 K1M";"ROMOTOP Krbová vložka IMPRESSION U 3G L 55.51.55.24 K1M (šedý igniton)"
43844;"IU3LG 26 K1M";"ROMOTOP Krbová vložka IMPRESSION U 3G L 55.51.55.26 K1M (černý igniton)"
43848;"IL3LG 14A";"ROMOTOP Krbová vložka IMPRESSION R/L 3G L 63.51.38.14(16)A (šedý igniton)"
43856;"IL3LG 16";"ROMOTOP Krbová vložka IMPRESSION L 3G L 63.51.38.16 (černý igniton)"
43857;"IL3LG 16A";"ROMOTOP Krbová vložka IMPRESSION R/L 3G L 63.51.38.14(16)A (černý igniton)"
43906;30044744;"JOTUL Krbová vložka JØTUL I 520 FL - AKCE do 31. 7. 2026 nebo do vyprodání zásob"
43907;30044745;"JOTUL Krbová vložka JØTUL I 520 FR - AKCE do 31. 7. 2026 nebo do vyprodání zásob"
43908;30044746;"JOTUL Krbová vložka JØTUL I 520 FRL - AKCE do 31. 7. 2026 nebo do vyprodání zásob"
43961;30051910;"JOTUL Krbová vložka JØTUL I 620 F - AKCE do 31. 7. 2026 nebo do vyprodání zásob"
43963;30051935;"JOTUL Krbová vložka JØTUL I 620 FL - AKCE do 31. 7. 2026 nebo do vyprodání zásob"
43964;30051936;"JOTUL Krbová vložka JØTUL I 620 FRL - AKCE do 31. 7. 2026 nebo do vyprodání zásob"
40200;30036894;"JOTUL Krbová kamna Jøtul F 163"
43886;"LARXET 30";"ROMOTOP Krbová kamna LAREDO T 30 - plech"
43892;"SONYEH 11";"ROMOTOP Krbová vložka SONE H - keramika vlnka s možností akumulace"
43896;"SONXE 30";"ROMOTOP Krbová kamna SONE G - plech"
43902;"SONYEH 22";"ROMOTOP Krbová kamna SONE H - kámen s možností akumulace"
43852;QKP019-15;"DEFRO HEAT Automatický kotel na pelety CALORI PLUS 15kW"
43853;QKP019-20;"DEFRO HEAT Automatický kotel na pelety CALORI PLUS 20kW"
43855;QKP019-30;"DEFRO HEAT Automatický kotel na pelety CALORI PLUS 30kW"
43883;"LARXE 20";"ROMOTOP Krbová kamna LAREDO 20 - kámen"
43884;"LARXE 30";"ROMOTOP Krbová kamna LAREDO 30 plech"
43885;"LARXET 20";"ROMOTOP Krbová kamna LAREDO T 20 - kámen"
43887;"LAFXE 20";"ROMOTOP Krbová vložka LAREDO F 20 - kámen"
43888;"NAVYE 30";"ROMOTOP Krbová kamna NAVIA 30 - plech"
43889;"SONYE 10";"ROMOTOP Krbová kamna SONE 10 - keramika"
43890;"SONYE 11";"ROMOTOP Krbová kamna SONE 11 - keramika vlnka"
43891;"SONYE 30";"ROMOTOP Krbová kamna SONE 30 - plech"
43893;"SONYEH 30";"ROMOTOP Krbová kamna SONE H - plech s možností akumulace"
43894;"SONXE 10";"ROMOTOP Krbová kamna SONE G - keramika"
43895;"SONXE 11";"ROMOTOP Krbová kamna SONE G - keramika vlnka"
43897;"SONXEH 10";"ROMOTOP Krbová kamna SONE G H - keramika s možností akumulace"
43898;"SONXEH 30";"ROMOTOP Krbová kamna SONE G H - plech s možností akumulace"
43899;"RIAXD 30";"ROMOTOP Krbová kamna RIANO G - plech"
43900;"STRXET 10";"ROMOTOP Krbová kamna STROMBOLI G T - keramika"
43901;"SONYE 22";"ROMOTOP Krbová kamna SONE 22 - kámen"
43903;"SONXE 22";"ROMOTOP Krbová kamna SONE G - kámen"
43904;"SONXEH 22";"ROMOTOP Krbová kamna SONE G H - kámen s možností akumulace"
43944;30062948;"JOTUL Krbová kamna JØTUL F 171 ZENSORIC"
43910;"I3X RAM06";"RÁMEK I3X RAM06 krycí"
43911;"I3LK RAM13";"RÁM I3LK RAM13 nosný"
43912;"I3LK RAM14";"RÁM I3LK RAM14 nosný"
43913;"I3LK RAM15";"RÁM I3LK RAM15 nosný podpůrný"
43914;"I3LK RAM11";"RÁMEK I3LK RAM11 krycí"
43915;"I3LK RAM12";"RÁMEK I3LK RAM12 krycí"
43917;"IR3LG RAM13";"RÁM IR3LG RAM13 nosný, univerzální"
43918;"IR3LG RAM14";"RÁM IR3LG RAM14 nosný, univerzální"
43919;"IR3LG RAM15";"RÁM IR3LG RAM15 nosný, podpůrný"
43920;"IL3LG RAM11";"RÁMEK IL3LG RAM11 krycí"
43921;"IL3LG RAM12";"RÁMEK IL3LG RAM12 krycí"
43922;"IR3LG RAM11";"RÁMEK IR3LG RAM11 krycí"
43923;"IR3LG RAM12";"RÁMEK IR3LG RAM12 krycí"
43926;"DR3SH RAM04";"RÁMEK DR3SH RAM04 krycí polohluboký univerzální"
43927;"DR3SH RAM06";"RÁMEK DR3SH RAM06 krycí univerzální"
43928;"I3Z RAM04";"RÁMEK I3Z RAM04 krycí, polohluboký"
43929;"I3Z RAM06";"RÁMEK I3Z RAM06 krycí"
43932;"I3LJ RAM15";"RÁM I3LJ RAM15 nosný podpůrný"
43933;"I3LJ RAM11";"RÁMEK I3LJ RAM11 krycí"
43935;"DB3F RAM01";"TECHNICKÝ RÁMEK DB3F RAM01 4S"
43942;"DU3SH RAM15";"RÁM DU3SH RAM15 nosný podpůrný"
43807;"I3X 16";"ROMOTOP Krbová vložka IMPRESSION 3G 80.54.16 (černý igniton)"
43811;"I3LK 16M";"ROMOTOP Krbová vložka IMPRESSION 3G L 97.51.16M (černý igniton)"
43835;"I3LJ 16A";"ROMOTOP Krbová vložka IMPRESSION 3G L 83.51.16A (černý igniton)"
43836;"I3LK 14";"ROMOTOP Krbová vložka IMPRESSION 3G L 97.51.14 (šedý igniton)"
43841;"IC3LH 26A";"ROMOTOP Krbová vložka IMPRESSION C 3G L 74.51.37.26A (černý igniton)"
43843;"IU3LG 24 K1A";"ROMOTOP Krbová vložka IMPRESSION U 3G L 55.51.55.24 K1A (šedý igniton)"
43845;"IU3LG 26 K1A";"ROMOTOP Krbová vložka IMPRESSION U 3G L 55.51.55.26 K1A (černý igniton)"
43846;"IL3LG 14";"ROMOTOP Krbová vložka IMPRESSION L 3G L 63.51.38.14 (šedý igniton)"
43847;"IL3LG 14M";"ROMOTOP Krbová vložka IMPRESSION L 3G L 63.51.38.14M (šedý igniton)"
43858;"IR3LG 14";"ROMOTOP Krbová vložka IMPRESSION R 3G L 63.51.38.14 (šedý igniton)"
43859;"IR3LG 14M";"ROMOTOP Krbová vložka IMPRESSION R 3G L 63.51.38.14M (šedý igniton)"
43877;"HR4SG 26";"ROMOTOP Krbová vložka HEAT R 4G S 65.51.40.26 (černý igniton)"
43878;"HL4SG 26";"ROMOTOP Krbová vložka HEAT L 4G S 65.51.40.26 (černý igniton)"
